,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
84,trust-wallet-token,85,TWT,Trust Wallet Token,416649900.0000000000000000,1000000000.0000000000000000,474843479.3282351025706500,5430672.1521282918289646,1.1396702107170435,-0.7527943910878151,1.1185864958642064,https://explorer.binance.org/asset/TWT-8C2
85,iotex,86,IOTX,IoTeX,9441819580.0000000000000000,10000000000.0000000000000000,471059735.5572564163747860,78499669.3672457549766625,0.0498907791624267,22.6770523026977566,0.0461138391244396,https://etherscan.io/token/0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
86,casper,87,CSPR,Casper,11621663283.0000000000000000,,463095898.2357394764712548,2722631.3811839350712005,0.0398476437458956,-1.4481029939874713,0.0393874704944985,https://casperstats.io/
87,nexo,88,NEXO,Nexo,560000011.0000000000000000,1000000000.0000000000000000,458054848.8313341664502004,1040629.7139506814240635,0.8179550711318364,1.7669307124205460,0.8101859599389668,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
88,gas,89,GAS,Gas,65558994.0000000000000000,,450218804.1196875414144000,1748385.5034810461938609,6.8673842694976000,-3.3256599875986786,6.7069526652675758,https://neotracker.io/asset/602c79718b16e442de58778e148d0b1084e3b2dffd5de6b7b16cee7969282de7
89,storj,90,STORJ,Storj,393095938.6729615000000000,,429492443.2023839813263973,67292159.7659199630595296,1.0925893680110055,3.3635420149464577,1.0616081961009326,https://etherscan.io/token/Storj
90,huobi-token,91,HT,Huobi Token,162233844.0000000000000000,500000000.0000000000000000,427829409.3268147301861928,3333805.9474787869552973,2.6371156521866962,-1.2363609423306760,2.6040480889997181,https://etherscan.io/token/0x6f259637dcd74c767781e37bc6133cd6a68aa161
91,compound,92,COMP,Compound,8048735.3729923800000000,10000000.0000000000000000,406905512.7549102601979081,24410931.0287088596427149,50.5552107130129014,-1.2598978864176101,49.9434813832363351,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
92,1inch,93,1INCH,1inch Network,1123599116.9512744000000000,,405586887.5509692800884454,13130766.7486012456341593,0.3609711697277507,-1.5658057542769149,0.3522393170911023,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
93,singularitynet,94,AGIX,SingularityNET,1249801993.6960192000000000,2000000000.0000000000000000,398614881.9735035791386046,6301830.5191274947777120,0.3189424276678310,-0.1039927409206077,0.3081904298695686,https://etherscan.io/token/0x8eb24319393716668d768dcec29356ae9cffe285
94,siacoin,95,SC,Siacoin,55937150071.4846300000000000,,396726887.8325463260402124,4963293.1951838655818098,0.0070923686195230,-2.1354435457616145,0.0066788884148304,http://explore.sia.tech/
95,zilliqa,96,ZIL,Zilliqa,17372203179.0000000000000000,21000000000.0000000000000000,392303211.7148595852835743,19839382.8887471697961773,0.0225822371332317,-2.3975504761170752,0.0221945320785651,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
96,paxos-standard,97,USDP,Pax Dollar,369946003.6606834500000000,,370252167.7703854204580648,332765.5301135658285076,1.0008275913421754,-0.0746634655144663,,https://etherscan.io/token/0x8e870d67f660d95d5be530380d0ec0bd388289e1
97,dash,98,DASH,Dash,11584964.9603778000000000,18900000.0000000000000000,369395393.6925868046870391,32004931.2741028142452535,31.8857583908083193,-0.4747900382632003,30.8763512045226000,https://explorer.dash.org
98,holo,99,HOT,Holo,172565515342.4079300000000000,,368672743.9502062157628740,5316920.1730463467342757,0.0021364218871811,3.3003919265206428,0.0020363533161927,https://etherscan.io/token/0x6c6ee5e31d828de241282b9606c8e98ea48526e2
99,loopring,100,LRC,Loopring,1331682636.1413314000000000,1374513896.0000000000000000,358472943.5288940410417507,35175679.3124583848018533,0.2691879685144812,-7.5126005909457525,0.2716608527596893,https://etherscan.io/token/0xEF68e7C694F40c8202821eDF525dE3782458639f
